Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15373165	71.42	13.33	1.21	0.07	9.01	4.57	0.39	0.186642397087651
SRR15373166	70.28	11.58	1.24	0.11	12.12	4.54	0.13	0.164769493454752
SRR15373167	71.34	15.32	1.43	0.12	7.52	3.98	0.29	0.214746285393888
SRR15373168	84.84	9.55	0.48	0.04	2.35	2.56	0.18	0.112564827911363
SRR15373169	67.7	16.02	1.51	0.03	9.24	5.04	0.46	0.236632200886263
SRR15373171	82.66	12.49	1.05	0	2.02	1.66	0.12	0.151100895233487
SRR15373172	68.75	13.85	1.29	0.1	12.16	3.66	0.19	0.201454545454545
SRR15373173	71.57	16.5	1.49	0.06	6.61	3.59	0.18	0.230543523822831
SRR15373174	71.58	15.92	0.88	0.11	7.82	3.36	0.33	0.222408493992735
SRR15373175	74.8	15.18	2.2	0.06	2.68	4.82	0.26	0.202941176470588
SRR15373176	69.8	13.72	1.27	0.06	10.75	4.02	0.38	0.196561604584527
SRR15373177	70.53	12.05	1.29	0.19	10.74	4.93	0.27	0.170849283992627
SRR15373178	78.02	12.6	1.75	0.04	4.35	2.93	0.31	0.161497052037939
SRR15373179	71.99	12.75	2.6	0.04	9.03	3.38	0.21	0.177107931657175
SRR15373180	71.23	13.89	0.83	0.05	10.57	3.1	0.33	0.195002105854275
SRR15373181	77.04	13.34	1.01	0.03	5	3.43	0.15	0.173156801661475
SRR15373182	76.08	14.3	1.38	0.04	4.3	3.66	0.24	0.187960042060988
SRR15373183	73.47	13.15	1.58	0.14	7.35	4.18	0.13	0.178984619572615
SRR15373184	72.41	17.24	1.31	0.06	4.52	3.98	0.48	0.238088661787046
SRR15373185	73.28	11.94	1.48	0.02	8.88	4.25	0.15	0.162936681222707
SRR15373186	74.68	14	1.59	0.06	6.06	3.43	0.18	0.187466523835029
SRR15373187	72.67	16.06	1.87	0.05	5.37	3.68	0.3	0.220999036741434
SRR15373189	77.99	10.42	1.17	0.1	6.44	3.64	0.24	0.133606872675984
SRR15373190	74.27	12.95	1.6	0	6.56	4.41	0.21	0.174363807728558
SRR15373191	68.34	15.2	1.22	0.05	11.42	3.33	0.44	0.222417325139011
SRR15373192	72.18	13.14	1.91	0.03	8.47	3.97	0.3	0.182044887780549
SRR15373193	73.21	14.08	1.23	0.07	7.39	3.58	0.44	0.19232345308018
SRR15373194	73.86	12.9	1.61	0.07	7.19	4.02	0.35	0.174654752233956
SRR15373195	78.18	11.01	2.32	0.03	4.67	3.67	0.12	0.140828856485035
SRR15373196	73.4	15.35	1.18	0.07	6.14	3.56	0.3	0.209128065395095
SRR15373197	75.86	13.2	1.3	0.03	6.02	3.44	0.15	0.17400474558397
SRR15373198	70.95	14.51	1.51	0.08	8.78	3.87	0.3	0.204510218463707
SRR15373199	72.47	11.78	1.42	0.18	10.03	3.86	0.26	0.16255002069822
SRR15373200	70.15	13.49	2	0.03	11.01	2.85	0.47	0.192302209550962
SRR15373201	75.07	13.74	1.79	0.02	5.17	4.02	0.19	0.183029172772079
SRR15373202	69.7	12.46	2.07	0.09	11.67	3.76	0.25	0.178766140602583
ERR2162200	74.56	16.71	1.96	0.03	2.18	4.3	0.26	0.224114806866953
ERR2162201	72.34	16.6	1.72	0.05	4.92	3.85	0.52	0.229471938070224
ERR2162202	72.5	14.18	1.45	0.13	6.07	5.62	0.05	0.195586206896552
ERR2162203	71.84	20.05	0.83	0	4.37	2.53	0.38	0.279092427616926
ERR2162204	78.42	11.2	1.75	0.01	3.71	4.84	0.07	0.142820709002805
ERR2162205	72.4	14.61	1.67	0.13	7.18	3.75	0.26	0.201795580110497
ERR2162206	73.96	13	2.24	0.08	5.55	5.08	0.09	0.175770686857761
ERR2162207	74.13	13.18	1.57	0.09	7.34	3.33	0.36	0.177795764198031
ERR2162208	75.53	13.37	2.56	0.08	4.49	3.89	0.08	0.177015755329008
ERR2162209	78.11	10.59	2.76	0	4.54	3.98	0.02	0.135578030981949
ERR2162210	76.31	11.98	1.23	0.07	7.14	3.11	0.16	0.156991220023588
ERR2162211	79.76	10.92	1.46	0.08	4.96	2.66	0.16	0.13691073219659
ERR2162212	68.92	14.67	1.02	0.1	11.22	3.74	0.33	0.212855484619849
ERR2162213	77.08	12.41	1.49	0.03	5.34	3.36	0.29	0.161001556824079
ERR2162214	74.64	12.55	1.26	0.12	7.19	3.96	0.28	0.168140407288317
ERR2162215	75.92	11.84	1.31	0.04	6.14	4.51	0.24	0.15595363540569
ERR2162216	76.84	15.4	1.13	0.12	2.39	3.73	0.39	0.200416449765747
ERR2162217	78.63	8.77	1.54	0.02	7.17	3.64	0.23	0.111535037517487
ERR2162218	71.31	14.77	1.26	0.07	8.18	4.02	0.39	0.207123825550414
ERR2162219	69.22	17.01	1.58	0.05	8.39	3.43	0.32	0.245738225946258
ERR2162220	75.34	11.6	1.85	0.04	6.84	4.11	0.22	0.153968675338466
ERR2162221	71.71	15.48	1.67	0.06	7.28	3.45	0.35	0.215869474271371
ERR2162222	73.88	11.27	1.35	0.02	10.96	2.33	0.19	0.152544667027612
ERR2162223	82.93	10.54	1.3	0	1.32	3.5	0.41	0.127095140479923
ERR2162224	79.85	11.04	0.47	0.01	6.24	2.13	0.26	0.138259236067627
SRR16168896	73.89	17.26	1.45	0.01	3.8	3.09	0.5	0.233590472323724
SRR16168898	74.55	10.92	1.67	0.08	8.55	4.04	0.19	0.146478873239437
SRR16168900	72.33	15.37	1.16	0.21	7.43	3.19	0.31	0.212498271809761
SRR16168902	73.23	15.37	1.94	0.14	4.89	4.15	0.28	0.209886658473303
SRR16168904	75.19	16.67	1.16	0.01	3.52	2.95	0.5	0.221705013964623
SRR16168906	77.42	13.31	1.15	0.01	3.97	3.62	0.52	0.171919400671661
SRR16168907	81.99	12.8	0.72	0.05	2.36	1.9	0.18	0.156116599585315
SRR16168908	75.96	14.04	1.58	0.03	5.07	3.07	0.25	0.184834123222749
SRR16168909	73.9	10.93	1.56	0.05	9.03	4.25	0.28	0.147902571041949
SRR16168910	74.51	15.29	1.08	0.01	5.54	3.2	0.37	0.205207354717488
SRR16168911	75.64	12.97	2.1	0.04	4.6	4.54	0.11	0.171470121628768
SRR16168912	70.55	20.04	1.34	0.02	4.5	2.98	0.57	0.284053862508859
SRR16168913	73.62	17.68	1.38	0.05	3.83	3.15	0.29	0.24015213257267
SRR16168914	73.21	14.13	1.23	0.05	8.07	3.01	0.3	0.193006419887993
SRR16168915	75.41	16.46	1.22	0	3.41	3.16	0.34	0.218273438536003
SRR16168916	73.35	16.52	1.4	0.19	4.27	4.07	0.2	0.225221540558964
SRR16168918	73.48	15.93	1.43	0.07	5.28	3.49	0.32	0.21679368535656
SRR16168919	73.9	15.97	1.72	0.13	4.15	3.75	0.38	0.216102841677943
SRR16168920	71.33	10.83	2.12	0.07	10.63	4.92	0.1	0.151829524744147
SRR16168921	73.32	15.87	1.83	0	5.08	3.76	0.14	0.216448445171849
SRR16168922	76.04	13.62	1.39	0.03	4.85	3.92	0.15	0.179116254602841
SRR16168923	74.4	16.74	1.67	0.04	3.84	2.79	0.52	0.225
SRR16168924	70.8	14.14	2.12	0.07	8.02	4.58	0.27	0.199717514124294
SRR16168925	68.82	13.33	0.92	0.02	13.36	3.3	0.25	0.193693693693694
SRR16168926	74.8	12.43	1.27	0.05	7.09	3.98	0.38	0.166176470588235
SRR16168927	71.57	13.52	1.47	0.09	8.41	4.67	0.27	0.18890596618695
SRR16168928	76.22	11.16	1.33	0.1	6.53	4.4	0.26	0.146418262923117
SRR16168929	70.95	11.97	1.13	0.14	11.79	3.73	0.29	0.168710359408034
SRR16168930	71.38	10.12	1.6	0.08	12.52	4.18	0.12	0.141776407957411
SRR16168931	73.45	9.99	1.52	0.07	10.91	3.91	0.15	0.136010891763104
SRR16168932	72.15	12.72	1.31	0.05	9.67	3.8	0.3	0.176299376299376
SRR16168933	76.42	13.57	1.55	0.04	4.63	3.48	0.31	0.177571316409317
SRR16168934	73.19	12.63	2.44	0.06	6.46	5.02	0.2	0.172564557999727
SRR16168935	74.71	13.34	2.23	0.03	5.38	4.15	0.16	0.178557087404631
SRR16168936	72.73	13.37	1.77	0.06	7.34	4.5	0.23	0.183830606352262
SRR16168937	74.95	13.53	1.51	0.09	5.78	3.73	0.41	0.180520346897932
SRR16168938	75.46	12.07	1.33	0.02	7.11	3.68	0.33	0.159952292605354
SRR16168939	73.38	14.48	2.59	0.16	5.05	3.97	0.37	0.197328972472063
SRR16168940	73.3	15.42	0.86	0.01	7.21	2.91	0.29	0.210368349249659
SRR16168941	74.16	11.81	2.2	0.1	7.01	4.46	0.26	0.159250269687163
SRR16168942	77.37	12.25	1.42	0.03	5.34	3.36	0.23	0.15833010210676
SRR16168943	75.04	13.07	1.29	0.15	6.42	3.88	0.15	0.174173773987207
SRR16168944	74.56	14.33	2.39	0.07	3.94	4.5	0.21	0.192194206008584
SRR16168945	73.06	13.65	1.72	0.03	7.42	3.86	0.26	0.186832740213523
SRR16168946	74.29	12.78	1.63	0.04	7.31	3.67	0.28	0.172028536815184
SRR16168947	73.34	14.26	1.93	0.04	6.03	4.07	0.33	0.194436869375511
SRR16168948	83.9	8.34	0.9	0.04	4.33	2.38	0.11	0.099404052443385
SRR16168949	75.12	14.45	1	0.01	6.33	2.57	0.52	0.192358892438765
SRR16168950	74.9	11.86	2.61	0.03	4.7	5.68	0.22	0.158344459279039
SRR16168951	77	12.7	1	0.07	6.45	2.5	0.28	0.164935064935065
SRR16168952	78.43	10.37	3.06	0.01	2.55	5.56	0.02	0.132219813846742
SRR16168953	74.71	15.39	1.27	0.03	5.55	2.82	0.23	0.205996519876857
SRR16168954	73.44	11.58	1.19	0.05	9.97	3.5	0.27	0.157679738562091
SRR16168955	71.86	16.64	1.95	0.1	5.04	4.19	0.22	0.231561369329251
SRR16168957	72.81	12.07	1.92	0.03	8.31	4.68	0.18	0.165773932152177
SRR16168958	78.67	10.43	1.21	0.07	6.24	3.23	0.15	0.132579128003051
SRR16168959	72.7	17.01	1.44	0.12	5.13	3.4	0.2	0.233975240715268
SRR16168960	71.92	12.85	1.78	0.06	8.59	4.46	0.34	0.178670745272525
SRR16168961	72.96	11.92	1.09	0.08	10.04	3.6	0.31	0.163377192982456
SRR16168962	72.04	18.81	1.39	0.08	4.28	2.94	0.46	0.261104941699056
SRR16168963	76.72	11.2	1.77	0.11	4.77	5.25	0.18	0.145985401459854
SRR16168964	72.46	15.08	1.01	0.02	7.41	3.77	0.25	0.208114821970742
SRR16168965	78.19	10.52	1.44	0.02	4.69	5.08	0.06	0.134544059342627
SRR16168966	70.58	10.7	1.08	0.1	13.67	3.74	0.13	0.151601020119014
SRR16168967	74.78	14.24	1.42	0.07	5.04	4.34	0.11	0.190425247392351
SRR16168968	74.89	11.38	1.11	0.02	8.94	3.31	0.35	0.151956202430231
SRR16168969	75.19	13.36	1.46	0.03	5.4	4.24	0.32	0.177683202553531
SRR16168970	74.26	13.88	1.64	0.03	6.7	3.32	0.17	0.18691085375707
SRR16168971	74.17	11.95	1.42	0.11	7.94	4.08	0.33	0.161116354321154
SRR16168972	76.88	9.42	1.73	0.03	7.28	4.5	0.16	0.122528616024974
SRR16168973	90.51	6.25	0.52	0.03	1.37	1.27	0.05	0.069053143299083
SRR16168974	74.25	11.54	2.13	0.07	8.28	3.62	0.11	0.155420875420875
SRR16168975	76.54	11.17	1.57	0.01	6.3	4.1	0.31	0.145936765090149
SRR16168976	73.95	13.11	0.83	0.01	8.8	2.94	0.36	0.177281947261663
SRR16168977	72.34	13.5	1.72	0.07	7.82	4.21	0.34	0.186618744816146
SRR16168978	74.45	9.98	1.16	0.02	10	4.09	0.3	0.134049697783747
SRR16168980	73.92	10.61	1.91	0.12	8.35	4.88	0.21	0.14353354978355
SRR16168981	72.09	15.21	2.1	0.14	6.1	3.93	0.43	0.210986267166042
SRR16168982	75.93	10.76	1.46	0.06	8.22	3.43	0.14	0.141709469247992
SRR16168983	75.65	11.4	1.24	0.05	7.65	3.7	0.31	0.150693985459352
SRR16168984	72.71	13.65	2.15	0.09	6.99	4.15	0.26	0.187732086370513
SRR16168985	72.3	13.53	1.24	0.07	8.34	4.29	0.23	0.187136929460581
SRR16168986	74.15	11.94	1.01	0.02	8.73	3.86	0.29	0.161024949426838
SRR16168987	73.06	14.53	1.99	0.03	5.79	4.39	0.21	0.198877634820695
JS001	84.33	8.48	1.42	0.01	2.78	2.94	0.04	0.100557334281987
JS002	77.98	12.34	0.68	0.02	5.16	3.54	0.28	0.158245704026673
JS003	67.84	13.2	1.77	0.01	11.51	5.54	0.13	0.194575471698113
JS004	82.02	13.24	0.42	0.01	1.93	2.1	0.28	0.161424042916362
JS005	73.95	16.55	0.68	0.01	6.06	2.33	0.42	0.223799864773496
JS006	75.61	14.48	0.89	0.01	3.92	4.83	0.26	0.191509059648195
JS007	89.35	6.18	1.12	0.08	1.73	1.5	0.04	0.0691662003357583
JS008	65.77	11.11	2.4	0.31	14.52	5.75	0.14	0.16892200091227
JS009	74.37	12.61	1.05	0.1	8.14	3.07	0.66	0.169557617318811
JS010	75.57	13.32	1.51	0.05	5.79	3.32	0.44	0.176260420801906
JS011	80.71	14.34	0.54	0	1.54	2.4	0.47	0.177673150786767
JS012	75.89	12.43	1.64	0.06	5.9	3.95	0.13	0.16378969561207
JS014	68.74	15.52	1.73	0.13	8.7	4.9	0.28	0.225778295024731
JS016	68.72	15	1.57	0.04	10.48	3.82	0.37	0.218277066356228
JS017	73.37	16.9	2.1	0.06	4.07	3.32	0.18	0.230339375766662
JS018	71.15	16.28	1.23	0.05	7.35	3.61	0.33	0.228812368236121
JS019	79.94	14.84	0.67	0.01	2.04	2.21	0.29	0.185639229422067
JS020	72.18	15.71	1.43	0.02	5.99	4.43	0.24	0.217650318647825
JS021	77.27	10.96	3.21	0.05	4.09	4.28	0.14	0.141840300245891
JS022	70.95	12.88	1.88	0.1	10.21	3.78	0.2	0.1815362931642
JS023	78.34	9.35	3.64	0.04	2.32	6.26	0.05	0.1193515445494
JS025	78.68	12.97	1.29	0.08	3.93	2.75	0.3	0.164844941535333
JS027	78.78	11.72	1.59	0.13	3.3	4.19	0.29	0.148768723026149
JS028	74.83	16.38	0.96	0.02	4.26	3.27	0.28	0.21889616463985
JS029	74.92	15.82	1.67	0.03	4.41	2.79	0.36	0.211158569140416
JS030	73.68	11.38	2.7	0.1	8.23	3.74	0.17	0.154451682953312
JS031	72.36	11.59	1.52	0.06	10.26	4.06	0.15	0.160171365395246
JS032	67.4	20.14	1.08	0.01	7.91	2.7	0.76	0.298813056379822
JS033	79.31	10.72	1.81	0.05	3.56	4.37	0.18	0.135165805068718
JS034	71.19	15.96	1.43	0.1	6.59	4.56	0.17	0.224188790560472
JS035	77.57	14.89	0.92	0.02	3.64	2.81	0.15	0.191955652958618
JS036	73.79	12.86	1.67	0.05	7.79	3.64	0.2	0.174278357501016
JS037	68.74	20.36	0.96	0.05	6.68	2.44	0.77	0.296188536514402
JS039	71.67	13.14	2.06	0.2	8.42	4.44	0.07	0.183340309753035
JS040	74.02	12.67	1.9	0.18	6.54	4.47	0.22	0.171169954066469
JS041	79.96	8.72	1.12	0.04	6.76	2.9	0.5	0.109054527263632
JS042	75.12	11.68	1.18	0.01	8.69	3.1	0.22	0.155484558040469
JS043	68.67	12.15	1.34	0.02	12.74	4.94	0.14	0.176933158584535
JS044	69.46	15.98	1.14	0.08	9	3.95	0.39	0.230060466455514
JS045	76.5	11.3	2.42	0.05	5.47	4.05	0.21	0.147712418300654
JS046	78.02	12.03	2.15	0.08	4.22	3.5	0	0.154191233017175
JS047	75.53	11.88	1.68	0.04	6.51	4.1	0.26	0.157288494637892
JS048	66.63	14.76	1.92	0.11	11.27	5.06	0.25	0.221521837010356
JS050	76.57	11.32	2.72	0.05	4.93	4.16	0.25	0.147838579077968
JS051	74.44	14.03	0.95	0.06	6.88	3.28	0.36	0.188473938742612
JS053	73.44	12.71	1.73	0.05	8.24	3.62	0.21	0.173066448801743
JS056	73.37	13.53	1.07	0.07	7.77	3.82	0.37	0.184407796101949
JS057	75.28	10.49	1.13	0.02	9.93	2.98	0.17	0.139346439957492
JS058	66.62	20.91	0.67	0.02	5.65	5.95	0.18	0.313869708796157
JS060	69.05	16.16	1.6	0.04	8.92	4	0.23	0.234033309196235
JS062	76.37	12.54	1.3	0.15	6.24	3.09	0.31	0.164200602330758
ERR2213660	72.85	13.72	1.59	0.02	7.6	3.93	0.29	0.188332189430336
ERR2213663	86.56	8.97	0.29	0.02	2.14	2.02	0	0.103627541589649
ERR2213664	76.45	14.38	1.46	0.22	4.36	2.91	0.22	0.18809679529104
ERR2213665	86.72	7.23	1.04	0.02	1.25	3.7	0.04	0.0833717712177122
ERR2213666	71.34	12.5	1.61	0.04	8.7	5.69	0.12	0.175217269414073
ERR2213669	88.67	6.19	0.73	0.04	2.84	1.48	0.05	0.0698094056614413
ERR2213671	74.16	14.81	1.34	0.03	6.31	2.98	0.37	0.19970334412082
ERR2213672	77.46	11.81	2.24	0.03	4.73	3.29	0.44	0.152465788794216
ERR2213673	73.58	16.31	0.73	0.08	5.67	3.1	0.53	0.221663495515086
ERR2213674	73.11	16.52	1.48	0.01	5.59	3.06	0.23	0.225960880864451
ERR2213675	78.29	12.03	1.38	0.07	4.1	4.05	0.08	0.153659471196832
ERR2213677	75.35	13.59	2.82	0.15	4.23	3.65	0.21	0.180358327803583
ERR2213679	72.71	14.31	1.88	0.05	7.42	3.41	0.22	0.196809242195021
ERR2213680	71.31	13.04	0.91	0.03	10.84	3.49	0.38	0.182863553498808
ERR2213681	72.46	16.23	1.56	0.08	5.27	3.8	0.6	0.223985647253657
ERR2213682	75.83	11.68	1.71	0.06	6.13	4.18	0.41	0.154028748516418
ERR2213685	71.29	15.75	1.78	0.18	7.01	3.84	0.15	0.220928601486885
ERR2213688	73.18	13.97	1.4	0	7.47	3.65	0.33	0.190899152773982
ERR2213691	69.31	17.97	0.96	0.01	3.54	7.78	0.43	0.25926994661665
ERR2213694	68.32	13.9	1.37	0.09	12	3.95	0.37	0.203454332552693
ERR2213696	76.21	13.4	1.87	0.03	3.57	4.6	0.32	0.175829943576958
ERR2213699	75.78	10.77	2.07	0.07	6.33	4.87	0.11	0.142121931908155
ERR2213700	69.83	12.33	1.81	0.01	11.28	4.5	0.24	0.176571674065588
ERR2213701	70.41	19.41	2.34	0.02	4.28	3.45	0.09	0.275671069450362
ERR2213704	74.06	16.77	0.89	0.03	3.94	3.81	0.5	0.226438023224413
ERR2213705	73.89	14.49	0.98	0.09	6.3	3.96	0.29	0.196102314250914
ERR2213706	75.25	14.38	1.14	0.05	6.04	2.97	0.17	0.19109634551495
ERR2213707	73.9	12.64	1.4	0.03	7.85	3.9	0.28	0.171041948579161
ERR2213715	74.88	12.63	1.02	0	7.56	3.77	0.14	0.168669871794872
ERR2213718	76.57	10.16	0.83	0.03	8.85	3.43	0.13	0.132689042706021
ERR2213719	74.8	12.33	1.22	0.12	7.73	3.64	0.16	0.164839572192513
ERR2213723	74.05	14.19	1.55	0.04	5.73	4.04	0.4	0.191627278865631
ERR2213728	73.65	13.21	1.48	0.14	7.12	4.07	0.33	0.179361846571623
ERR2213731	69.8	9.68	3	0.05	11.43	5.92	0.12	0.138681948424069
ERR2213733	75.57	13.98	1.1	0.09	5.64	3.33	0.29	0.184994045256054
ERR2213734	79.37	11.71	1.42	0.07	3.47	3.8	0.16	0.147536852715132
ERR2213735	73.63	16.02	1.26	0.06	5.3	3.26	0.47	0.217574358277876
ERR2213736	74.29	15.08	2.31	0.07	3.19	4.61	0.45	0.202988289137165
ERR2213737	77.76	12.13	2.28	0.03	4.11	3.43	0.26	0.15599279835391
ERR2213740	74.45	12.51	1.7	0.18	8.46	2.54	0.16	0.168032236400269
ERR2213741	71.79	16.21	1.19	0.16	6.83	3.44	0.38	0.225797464827971
ERR2235210	72.44	13.74	3.67	0.08	5.01	4.91	0.15	0.189674213141911
ERR2235211	75.12	13.58	1.35	0.01	5.39	4.02	0.53	0.180777422790202
ERR2235212	71.3	11.72	1.67	0.11	10.96	4.14	0.1	0.16437587657784
ERR2235213	76.93	13.24	1.85	0	3.61	4.17	0.2	0.172104510594047
ERR2235214	73.45	14.63	1.64	0.04	5.5	4.55	0.19	0.199183117767189
ERR2235215	82.13	11.29	2.19	0	2.08	0.36	1.95	0.137464994520882
ERR2235216	76.13	14.75	1.34	0.01	3.52	3.87	0.38	0.193747537107579
ERR2235217	75.46	11.8	1.34	0.04	6.97	4.24	0.15	0.156374238006891
ERR2235218	76.64	13.09	2.16	0.07	4.81	3.16	0.07	0.170798538622129
ERR2235219	72.99	12.99	1.66	0.11	8.81	3.15	0.29	0.17796958487464
ERR2235220	72.85	19.05	0.88	0.05	2.68	3.42	1.07	0.26149622512011
ERR2235221	76.79	16.06	0.98	0.02	2.88	3.11	0.16	0.209141815340539
ERR2235223	69.24	12.05	1.5	0.06	13.15	3.9	0.1	0.174032351242057
ERR2235225	81.8	10.36	1.08	0.18	1.39	5.17	0.02	0.126650366748166
ERR2235226	76.43	12.41	1.21	0.03	6.31	3.31	0.3	0.162370796807536
ERR2235227	76.19	13.03	1.66	0.02	5.41	3.34	0.35	0.171019818873868
ERR2235228	85.73	7.42	0.75	0.03	3.79	2.1	0.18	0.0865507990201796
ERR2235229	76.06	13.83	1.24	0.08	4.35	4.32	0.12	0.181830134104654
ERR2235230	85.79	8.23	1.7	0.03	1.5	2.68	0.07	0.0959319267979951
ERR2235231	77.51	15.28	1.4	0.01	2.1	3.58	0.12	0.197135853438266
ERR2235232	77.74	14.4	1.36	0.01	2.47	3.86	0.16	0.185232827373296
ERR2235233	74.57	10.61	2.76	0.09	5.73	6.24	0	0.142282419203433
ERR2235234	77.24	13.16	2.33	0.05	2.95	4.16	0.11	0.170378042465044
ERR2235235	79.63	12.07	1.12	0.03	4.37	2.69	0.09	0.151576039181213
ERR2235236	75.77	12.96	1.92	0.05	4.52	4.5	0.28	0.171043948792398
ERR2235237	73.62	14	1.78	0.05	5.56	4.66	0.33	0.190165715838088
ERR2235238	73.25	15.37	1.32	0.11	6.31	3.36	0.28	0.209829351535836
ERR2235239	71.3	12.68	2.27	0.1	9.23	4.36	0.06	0.177840112201964
ERR2235240	74.47	15.58	1.38	0.08	4.91	3.37	0.21	0.209211763126091
ERR2235241	74.44	11.22	2.43	0.04	7.05	4.56	0.26	0.150725416442773
ERR2235242	70.26	15.04	1.42	0.05	8.33	4.74	0.16	0.214062055223456
ERR2235243	74.61	12.25	1.85	0.08	7.31	3.69	0.21	0.164187106286021
ERR2235244	77.61	11.14	2.75	0.03	2.76	5.57	0.14	0.143538203839711
ERR2235245	75.85	13.77	2.11	0.04	4.24	3.75	0.24	0.181542518127884
ERR2235248	72.75	15.41	1.36	0.04	6.26	3.85	0.33	0.211821305841924
ERR2235251	71.33	17.67	1.26	0.07	6.5	2.66	0.51	0.247721856161503
ERR2235253	71.42	12.74	1.22	0.1	10.72	3.52	0.28	0.178381405768692
ERR2235255	69.67	11.67	1.39	0	12.46	4.57	0.24	0.167503947179561
ERR2235256	73.43	17.42	1.21	0.03	3.68	4.02	0.21	0.237232738662672
ERR2235259	73.62	14.29	2.1	0.07	5.59	4	0.33	0.194104862809019
ERR2235260	74.77	13.45	1.12	0.06	7.45	2.98	0.17	0.179884980607195
ERR2235265	71.85	13.03	1.87	0.02	8.46	4.61	0.16	0.181350034794711
ERR2235268	75.73	12.72	1.7	0.06	5.96	3.42	0.41	0.167965139310709
ERR2235271	75.97	14.63	1.11	0.05	5.48	2.37	0.39	0.192576016848756
ERR2235275	73.94	16.32	0.95	0.02	4.77	3.43	0.57	0.220719502299161
ERR2235277	70.94	13.48	1.92	0.08	9.48	3.68	0.42	0.190019734987313
ERR2235278	70.51	17.16	1.32	0.06	6.9	3.65	0.4	0.243369734789392
ERR2235284	66.73	18.2	1.24	0	10.63	2.68	0.52	0.272740896148659
ERR2235288	73.81	12.97	1.87	0.02	8.31	2.77	0.25	0.175721446958407
ERR2235290	69.18	15.52	1.17	0.03	9.49	3.99	0.62	0.224342295461116
ERR2235293	73.57	14.71	1.13	0.04	7.07	3.34	0.14	0.199945630012233
ERR2235296	67.35	13.02	1.51	0.04	13.56	4.26	0.26	0.193318485523385
ERR2235300	74.03	14.34	1.64	0.07	6.46	3.17	0.29	0.193705254626503
ERR2235306	74.93	12.94	1.29	0.06	5.93	4.57	0.28	0.172694514880555
ERR2235316	74.48	13.51	1.33	0.01	6.06	4.28	0.33	0.181390977443609
ERR2235317	78.37	13	1.56	0.02	2.92	4	0.13	0.165879800944239
ERR2235321	72.03	13.75	2.08	0	7.84	4	0.3	0.190892683604054
ERR2235322	70.81	13.32	1.71	0.06	9.08	4.74	0.28	0.188109024149131
ERR2235325	77.96	10.59	1.93	0.12	6	3.18	0.22	0.135838891739354
ERR2235329	75.67	13.92	1.46	0.04	4.76	3.74	0.41	0.183956653891899
ERR2235332	68.4	11.93	1.07	0.02	13.95	4.47	0.16	0.174415204678363
ERR2235333	74.89	16.17	2.08	0.06	2.23	4.5	0.07	0.215916677794098
ERR2235334	79.03	10.5	1.19	0.08	6.31	2.79	0.1	0.132860938883968
ERR2235341	72.09	12.7	1.5	0.33	9.49	3.72	0.17	0.176168678041337
ERR2235342	72.62	14.26	1.84	0.02	7.8	3.32	0.14	0.196364637840815
