Species,fc,auroc,p.val,p.adj,cohen.d
Arthroderma uncinatum,-0.014078431,0.490612611,0.659270855,0.700536691,-0.143400532
Aspergillus costaricensis,0.005532406,0.499042795,0.964344081,0.972528048,-0.145186795
Candida parapsilosis,0.025539231,0.507514433,0.725634072,0.759731415,-0.118664371
Aspergillus fischeri,-0.041885347,0.464255566,0.095053415,0.123673513,-0.227158403
Aspergillus fumigatus,0.048144288,0.512277846,0.564780084,0.613853963,-0.102599965
Boeremia exigua,0.195707358,0.62389017,7.21E-09,4.72E-08,0.364572751
Rachicladosporium antarcticum,0.147436989,0.669319706,2.63E-15,5.85E-14,0.517321657
Puccinia graminis,0.24478499,0.669086058,2.85E-15,6.17E-14,0.494521681
Cladophialophora psammophila,0.183616946,0.587052865,4.77E-05,0.000129288,0.090976677
Tolypocladium ophioglossoides,-0.137032866,0.395770211,1.13E-06,4.52E-06,-0.421010659
Torulaspora delbrueckii,-0.096517213,0.397066582,1.53E-06,6.00E-06,-0.395026628
Ogataea angusta,0.234632696,0.636085108,2.08E-10,1.90E-09,0.296142881
Fomitopsis pinicola,-0.04789759,0.447756976,0.014694754,0.02243546,-0.266388656
Testicularia cyperi,-0.039540857,0.455109363,0.036042299,0.051191552,-0.230941332
Aspergillus saccharolyticus,0.043533991,0.511697493,0.584847404,0.632771167,-0.142698387
Candida maltosa,0.257456734,0.56921268,0.000693923,0.001450931,-0.075219853
Alternaria arborescens,0.030832421,0.511512836,0.564153758,0.613853963,-0.085298612
Aspergillus tubingensis,0.260337192,0.566231779,0.001948252,0.003577482,-0.070240348
Alternaria burnsii,0.262941445,0.583122296,6.52E-05,0.000169782,0.123168075
Daedalea quercina,0.141504042,0.545542592,0.033328588,0.047526566,-0.056143103
Aspergillus turcosus,0.135257037,0.532944422,0.121569189,0.154096908,-0.046232387
Daldinia caldariorum,0.320626807,0.60767045,4.62E-07,2.09E-06,0.203981723
Puccinia coronata,0.13205833,0.569167458,0.00123623,0.002382249,0.120324353
Aspergillus lentulus,0.234908215,0.568594643,0.00118977,0.00231146,-0.005085339
Pseudogymnoascus sp. 24MN13,0.005276806,0.495779255,0.843738225,0.866837686,-0.137327511
Aspergillus sclerotiicarbonarius,0.282251071,0.59173337,1.79E-05,5.27E-05,0.172822341
Colletotrichum simmondsii,0.048914208,0.492285835,0.71856888,0.754408949,-0.173382793
Uncinocarpus reesii,0.177841011,0.563544823,0.002995862,0.005172034,0.024420791
Pisolithus tinctorius,0.213197397,0.610621203,2.39E-07,1.12E-06,0.092432191
Thyridium curvatum,0.13834044,0.644070607,1.72E-11,1.88E-10,0.23379783
Paxillus involutus,0.167655291,0.655266887,4.13E-13,6.55E-12,0.405886785
Encephalitozoon romaleae,0.340007321,0.593723149,7.85E-06,2.51E-05,-0.035147693
Trichoderma longibrachiatum,0.201293595,0.538148751,0.058042777,0.07973892,-0.074204087
Dacryopinax primogenitus,0.197552707,0.555306833,0.000935158,0.00185836,0.038169423
Aspergillus chevalieri,0.173102298,0.548184326,0.022794165,0.033718339,0.007351098
Colletotrichum gloeosporioides,0.109726831,0.567196521,0.001700065,0.003198276,-0.007510235
Capronia coronata,0.129426051,0.574420778,0.000509739,0.001101344,0.105784186
Coniophora puteana,0.266907821,0.591876573,1.70E-05,5.02E-05,0.309244405
Elsinoe australis,0.059167187,0.458097801,0.050184954,0.069344713,-0.293773331
Thermothielavioides terrestris,-0.180209897,0.364890939,2.79E-10,2.46E-09,-0.48738491
Daldinia vernicosa,0.119994501,0.538148751,0.074707458,0.100124846,-0.051105928
Aspergillus arachidicola,0.115035852,0.53769276,0.05677911,0.078153485,0.020928071
Aspergillus taichungensis,0.037603635,0.47850058,0.314883393,0.368052228,-0.224602811
Aspergillus parasiticus,0.209395141,0.597363542,5.42E-06,1.79E-05,0.049026999
Cantharellus anzutake,0.151188146,0.546918102,0.007410741,0.011794327,0.077233463
Colletotrichum salicis,0.452848326,0.67619726,6.60E-17,2.14E-15,0.548837062
Epithele typhae,0.061285702,0.537621158,0.078911476,0.105166136,-0.060881643
Rhizopus microsporus,0.098379904,0.536931518,0.084566513,0.112074208,-0.108098537
Dothidotthia symphoricarpi,-0.074553008,0.436025566,0.002810798,0.004888046,-0.287882518
Diaporthe batatas,-0.022998818,0.471702166,0.186318571,0.227474557,-0.124468695
Aspergillus cristatus,0.056000044,0.512556716,0.543047408,0.594766209,-0.06700433
Aureobasidium namibiae,0.106598311,0.524111006,0.260082523,0.31061782,-0.197577629
Exophiala xenobiotica,0.225760567,0.571922248,8.00E-05,0.000205121,0.04849165
Aspergillus ruber,0.2750574,0.578720662,0.000180035,0.000429314,-0.044011211
Colletotrichum incanum,-0.061025292,0.439500143,0.004721863,0.007866094,-0.284459996
Aspergillus novofumigatus,0.184437516,0.569069476,6.44E-05,0.000168101,0.161881302
Aspergillus fijiensis,-0.025951093,0.479763035,0.319706957,0.372469053,-0.11213438
Aureobasidium pullulans,0.278873494,0.594653974,1.07E-06,4.34E-06,0.128930334
Debaryomyces hansenii,0.101473452,0.539999096,0.002805657,0.004888046,0.042793436
Fusarium musae,0.049442892,0.498289091,0.936282245,0.948251762,-0.094538007
Lachancea nothofagi,0.211767379,0.567754262,0.001505383,0.002847051,0.134007929
Elaphomyces granulatus,-0.012845032,0.48064487,0.3660434,0.418251514,-0.201828467
Rhynchosporium agropyri,0.072572368,0.536396388,0.089167515,0.117389156,-0.122880601
Fulvia fulva,0.120442184,0.525690016,0.229717879,0.276670351,0.002534611
Colletotrichum scovillei,0.570724107,0.688064336,1.12E-18,5.34E-17,0.4347256
Aspergillus japonicus,0,0.504529764,0.52519181,0.57889244,0.173385692
Blastomyces dermatitidis,0.200735262,0.584256621,2.95E-05,8.36E-05,0.05476274
Podila verticillata,0.27370772,0.558615596,0.005864552,0.00956848,-0.059336577
Dothistroma septosporum,0.14122989,0.58772743,4.18E-05,0.000114698,0.067534381
Galerina marginata,0.213089173,0.594823558,9.40E-06,2.94E-05,0.126631398
Aspergillus neoniger,0.309251437,0.565794631,0.001775111,0.003295975,0.097824061
Cryptococcus neoformans,-0.079663413,0.438377124,0.004003589,0.006748367,-0.352640118
Aspergillus niger,0.045337385,0.516302627,0.388691196,0.438507631,-0.026998837
Aspergillus nomiae,0.013214572,0.5207834,0.144519205,0.180775778,0.405837798
Aspergillus puulaauensis,0.117543309,0.545749861,0.01722505,0.025965033,-0.015128329
Aspergillus ochraceoroseus,0.028361513,0.504850088,0.751549518,0.782269791,-0.035123188
Aspergillus oryzae,0.288100589,0.568918736,6.48E-06,2.10E-05,0.244672391
Candida tropicalis,0.174981935,0.565398936,0.000690562,0.001448149,0.045761295
Neofusicoccum parvum,0.113971402,0.487420673,0.552436408,0.603196262,-0.201601935
Aspergillus pseudonomiae,0.308029125,0.589679525,2.20E-05,6.37E-05,0.016143664
Claviceps purpurea,0.145848265,0.540907309,0.055722146,0.076846983,0.058519272
Aspergillus pseudoviridinutans,0.27945657,0.604734771,3.95E-07,1.82E-06,0.135830646
Aspergillus sclerotioniger,0.272056017,0.590290025,2.16E-05,6.29E-05,-0.009765814
Aspergillus rambellii,0.110407844,0.520474382,0.294600529,0.346617454,-0.063960225
Bipolaris oryzae,0.395857246,0.64600009,1.25E-12,1.75E-11,0.239550351
Fusarium coffeatum,0.025451672,0.505072431,0.812729934,0.839820932,-0.143419697
Helicocarpus griseus,0.020271502,0.507887517,0.712602137,0.750495308,-0.064550987
Candida orthopsilosis,0.056554801,0.524830793,0.246192287,0.296011974,-0.066860788
Gonapodya prolifera,0.115561136,0.594186678,1.09E-05,3.32E-05,0.152802315
Aspergillus sydowii,0.195288328,0.566921419,0.001724354,0.003229621,0.156937926
Stereum hirsutum,0.137314861,0.59670405,6.29E-06,2.05E-05,0.251587972
Hypoxylon sp. CO27-5,0.034943412,0.512349448,0.564108708,0.613853963,-0.138381742
Cucurbitaria berberidis,0.146454056,0.651343855,1.57E-12,2.12E-11,0.311252972
Phaeomoniella chlamydospora,0.40876026,0.629859509,1.18E-09,8.58E-09,0.153193667
Phanerochaete carnosa,-0.006628865,0.45203048,0.024943404,0.036518783,-0.249749835
Coniosporium apollinis,-0.030697279,0.468947376,0.146983149,0.183215009,-0.229999323
Acidomyces sp. richmondensis,0.231652685,0.565470538,0.002146607,0.003874761,-0.070571667
Botrytis sinoallii,0.254074347,0.594966762,9.07E-06,2.85E-05,0.069063117
Lachancea sp. PJ-2012a,0.156150093,0.540398559,0.058868075,0.080717187,-0.020245092
Eremomyces bilateralis,0.130597009,0.552879905,0.006413732,0.010334412,0.096478538
Guyanagaster necrorhizus,0.185557266,0.536351166,0.089400157,0.117389156,-0.134006116
Leptosphaeria maculans,0.179841509,0.534112664,0.086722425,0.114505721,0.089939139
Aspergillus viridinutans,0.143593153,0.5536826,0.005882231,0.009575412,0.092433171
Aspergillus welwitschiae,0.113813834,0.548244622,0.005249187,0.008663589,0.184858215
Colletotrichum truncatum,0.066037543,0.546292528,0.030622894,0.044109341,0.123105856
Coprinopsis cinerea,0.356520296,0.618214776,3.18E-08,1.91E-07,0.478851663
Zasmidium cellare,0.184198234,0.608118904,4.43E-07,2.01E-06,0.195463516
Cyberlindnera jadinii,0.19869022,0.577382837,0.000300298,0.000686258,-0.004406358
Lichtheimia ramosa,0.200583775,0.641647447,3.71E-11,3.83E-10,0.423128892
Naumovozyma castellii,0.047553537,0.527683565,0.196056982,0.238547147,0.003177066
Gymnopus luxurians,0.275207889,0.719938498,9.46E-25,1.69E-22,0.729410904
Colletotrichum orbiculare,0.207259524,0.570765312,0.000789154,0.001617882,0.109460508
Kluyveromyces marxianus,0.454515908,0.695729511,5.99E-20,3.56E-18,0.279451759
Beauveria bassiana,-0.048424555,0.487036283,0.544898652,0.595878434,-0.305345877
Penicillium antarcticum,0.188096808,0.708338986,2.25E-22,2.68E-20,0.647712733
Filobasidium floriforme,0.30656631,0.631212409,8.70E-10,6.67E-09,0.349092512
Candida dubliniensis,0.211446344,0.561788691,0.002572586,0.004540232,0.119396553
Diplodia corticola,0.232335501,0.568647402,0.001232897,0.002382249,0.156019659
Bipolaris victoriae,0.041095457,0.5297864,0.002186706,0.003927258,0.095120402
Ustilaginoidea virens,0.101689801,0.533174302,0.059043208,0.080801934,0.078082835
Debaryomyces fabryi,0.273151299,0.562451951,0.002532798,0.004481104,0.039974454
Blastomyces gilchristii,0.207728331,0.559090429,0.001080416,0.002116309,0.135326275
Blastomyces percursus,0.476289093,0.624059754,5.99E-09,3.95E-08,0.303659436
Suillus fuscotomentosus,0.093561965,0.522565911,0.291844959,0.343942902,-0.049918238
Paxillus rubicundulus,0.18608377,0.576161835,0.000373355,0.000831881,0.053563144
Exserohilum turcicum,0.135422752,0.58609566,5.80E-05,0.000153743,0.12865171
Malassezia vespertilionis,0.236658958,0.676238713,1.86E-16,5.30E-15,0.261763773
Alternaria rosae,0.026830876,0.505882663,0.783521594,0.813174522,-0.090614065
Botrytis deweyae,0.090662838,0.567418864,0.001640771,0.003094893,0.110438694
Stachybotrys chartarum,0.381256465,0.612584603,1.38E-07,7.09E-07,0.199965989
Lobosporangium transversale,0.033539251,0.507156424,0.733832452,0.767188472,-0.077850963
Gloeophyllum trabeum,0.0291663,0.486587829,0.530942746,0.583985919,-0.185599218
Colletotrichum sublineola,0.201702581,0.56230121,0.003493716,0.005973668,0.11087971
Macroventuria anomochaeta,0.057894836,0.528900797,0.177110453,0.216715844,-0.09484449
Aspergillus candidus,0.266463113,0.600649693,2.41E-06,8.86E-06,0.273386982
Dissoconium aciculare,0.129100455,0.546985936,0.028192541,0.040773391,0.000268983
Brettanomyces bruxellensis,0.035950437,0.521687846,0.311130815,0.364263171,-0.008644934
Diutina rugosa,0.309636913,0.63789023,1.18E-10,1.12E-09,0.262205914
Kalmanozyma brasiliensis,-0.008604062,0.476137717,0.265107683,0.31608993,-0.160859697
Cryptococcus depauperatus,-0.128486375,0.431850043,0.001426237,0.002733621,-0.275195786
Ogataea haglerorum,0.208943501,0.645148404,1.21E-11,1.37E-10,0.224878391
Hypsizygus marmoreus,0.212460558,0.600005276,2.99E-06,1.06E-05,0.212265209
Malassezia globosa,0.415858817,0.646972369,4.16E-12,5.30E-11,0.370430757
Sparassis crispa,0.286088602,0.575732224,0.000396745,0.000870398,0.160808737
Cercospora beticola,0.332442849,0.586540346,2.67E-05,7.65E-05,0.0343119
Paracoccidioides brasiliensis,0.334452941,0.602255084,1.45E-06,5.74E-06,0.135091914
Neohortaea acidophila,0.043197701,0.523711542,0.268107465,0.318601038,0.053062934
Madurella mycetomatis,0.079308523,0.554530517,0.010875725,0.016968035,0.10231379
Endocarpon pusillum,0.03629548,0.521695383,0.310937006,0.364263171,-0.001241236
Cladophialophora bantiana,0.119788261,0.523297005,0.275746215,0.326589786,0.039250985
Purpureocillium takamizusanense,-0.094068799,0.411782662,3.79E-05,0.000105174,-0.373975706
Didymella exigua,0.040914539,0.519219464,0.369410065,0.420749802,-0.092402995
Microbotryum intermedium,0.238271986,0.588590422,3.47E-05,9.66E-05,0.126697523
Phialophora americana,0.185681281,0.564958019,0.002392817,0.00425456,0.100238292
Exophiala mesophila,0.161633896,0.566020742,0.002042712,0.003724945,-0.02291828
Cryphonectria parasitica,0.062580138,0.536098675,0.091785779,0.120079377,-0.055128352
Hirsutella rhossiliensis,0.143371909,0.557160946,0.007578129,0.012033866,0.05665999
Coccidioides immitis,0.09986565,0.604286317,1.11E-06,4.49E-06,0.212497733
Coccidioides posadasii,0.239528771,0.576267354,0.000181882,0.000432273,0.053135281
Blumeria graminis,0.106719778,0.491758242,0.700136322,0.738457393,-0.206897757
Diaporthe citri,0.031868445,0.524159996,0.259192086,0.310073753,-0.044607412
Talaromyces stipitatus,0.245538798,0.611732917,1.79E-07,8.71E-07,0.064576646
Colletotrichum fructicola,0.20926412,0.566341066,0.000614286,0.001305789,0.035243879
Erysiphe necator,0.159286108,0.55906405,0.005799701,0.009484373,-0.040843181
Ustilago maydis,0.222844332,0.582719064,0.000111541,0.000276394,0.073193411
Trichoderma citrinoviride,0.247305568,0.673140988,6.17E-16,1.57E-14,0.415946305
Pichia kudriavzevii,0.304522812,0.63036826,1.11E-09,8.23E-09,0.232764883
Neurospora crassa,-0.010245792,0.499577926,0.984273583,0.988432486,-0.022216402
Colletotrichum nymphaeae,0.062489558,0.518073833,0.375525338,0.424999311,0.030325341
Cylindrobasidium torrendii,0.041882283,0.540372179,0.059371551,0.081095624,0.11510414
Ophiostoma piceae,0.186633569,0.638651472,9.45E-11,9.11E-10,0.430192129
Fibroporia radiculosa,0.067545914,0.548546104,0.023379298,0.034440991,0.145166902
Penicilliopsis zonata,0.298411924,0.588484903,6.30E-06,2.05E-05,0.079423984
Lachancea meyersii,0.391280652,0.65995116,7.83E-14,1.36E-12,0.54065739
Exophiala aquamarina,0.364606661,0.598931247,2.66E-06,9.63E-06,0.066092887
Emmonsia crescens,0.112512272,0.520855002,0.329835999,0.380268183,-0.037005239
Grosmannia clavigera,0.038375085,0.532473357,0.129381127,0.162983645,0.005103617
Fusarium mangiferae,0.062722237,0.550607486,0.01810632,0.027178539,0.035124777
Fonsecaea erecta,0.050512709,0.529010085,0.175478726,0.215346526,-0.013186931
Aspergillus terreus,0.159537153,0.644997664,1.27E-11,1.42E-10,0.466228853
Hanseniaspora guilliermondii,0.255074083,0.601991287,1.87E-06,7.19E-06,0.194490358
Hanseniaspora osmophila,0.167620258,0.575592789,0.000413729,0.000904873,-0.039860444
Polytolypa hystricis,0.252183338,0.61580669,6.32E-08,3.47E-07,0.037134946
Linnemannia elongata,0.091656006,0.558359336,0.00642096,0.010334412,0.016108064
Kazachstania africana,-0.035183101,0.472945779,0.206421036,0.249878096,-0.078774381
Heterobasidion irregulare,0.08467129,0.571869489,0.000789653,0.001617882,0.140030875
Phialocephala subalpina,0.099093226,0.566393826,0.001930751,0.003557172,0.083727304
Tulasnella calospora,0.128250239,0.599421155,3.43E-06,1.18E-05,0.126585914
Talaromyces amestolkiae,0.068653873,0.528987473,0.1231381,0.155669265,0.016419686
Cryptococcus wingfieldii,0.069040719,0.520493224,0.33844442,0.387959601,-0.08691067
Ceratocystis platani,0.345729593,0.582402508,5.06E-07,2.25E-06,0.397020626
Cryptococcus gattii VGII,0.086985161,0.530012511,0.108994931,0.14027687,-0.045224449
Cryptococcus gattii VGIII,0.116664186,0.548873966,0.001126578,0.002200684,0.079274868
Cryptococcus gattii VGIV,0.149320803,0.557206168,0.000462719,0.001005849,0.090068273
Hesseltinella vesiculosa,-0.017606279,0.462288397,0.078190085,0.104399871,-0.205174294
Enterospora canceri,0.000605845,0.48972324,0.626288411,0.670485941,-0.155332346
Annulohypoxylon truncatum,-0.023753018,0.472527473,0.199487476,0.242307615,-0.217928789
Rhizophagus irregularis,0.093241316,0.57183934,0.000793681,0.001620521,0.021585793
Marasmius oreades,0.111218401,0.562240914,0.003648301,0.006208207,0.032800009
Fusarium poae,0.031598273,0.514207329,0.506972447,0.562163849,-0.038499614
Exophiala sideris,0.056710652,0.50379867,0.859142672,0.877505885,-0.048451558
Aspergillus bombycis,0.12294269,0.601949833,1.92E-06,7.30E-06,0.242411667
Morchella sextelata,0.170061204,0.601475,2.15E-06,8.01E-06,0.225237643
Dactylellina haptotyla,0.2303765,0.576629132,0.000327092,0.000742958,0.022116854
Penicillium decumbens,0.189844009,0.562323822,0.003589796,0.006123264,0.085286915
Pachysolen tannophilus,0.287774044,0.617570358,3.95E-08,2.27E-07,0.15312571
Lichtheimia corymbifera,0.276791566,0.589038876,3.20E-05,8.97E-05,-0.067568966
Ophiocordyceps unilateralis,0.005487152,0.494087189,0.782443643,0.813174522,-0.135961186
Piloderma croceum,0.114573303,0.520824854,0.330134649,0.380268183,-0.135699987
Hypholoma sublateritium,0.192754677,0.56416286,0.002697618,0.004714219,-0.022264554
Podospora anserina,0.339982979,0.589415728,2.85E-05,8.10E-05,0.121520662
Metschnikowia bicuspidata,0.077590678,0.547912992,0.025245033,0.036884649,0.012313016
Puccinia triticina,0.308429772,0.702313119,3.44E-21,3.50E-19,0.579931129
Metarhizium rileyi,0.082076426,0.580359969,0.000174791,0.000418209,0.115926208
Cyphellophora europaea,0.229227413,0.684589759,6.66E-18,2.64E-16,0.572555109
Wolfiporia cocos,0.11816615,0.604700855,1.01E-06,4.14E-06,0.206585484
Microdochium trichocladiopsis,0.186860401,0.611804519,1.77E-07,8.71E-07,0.168796726
Diplocarpon rosae,0.079154665,0.610877463,2.24E-07,1.06E-06,0.274465348
Serpula lacrymans,0.166982407,0.589645608,2.83E-05,8.07E-05,0.123685682
Fusarium oxysporum,0.053484877,0.529624354,0.166511352,0.205047658,-0.079310707
Lachancea thermotolerans,0.177743898,0.550566032,0.018152171,0.027190121,0.017832788
Melampsora larici-populina,0.024079309,0.511931142,0.577390339,0.62565245,-0.073521018
Pochonia chlamydosporia,0.098520262,0.559120578,0.005760833,0.009442469,0.066699031
Xylaria bambusicola,0.083845801,0.548244622,0.024247211,0.035572555,0.047718386
Chaetomium globosum,0.016529764,0.500595427,0.977815828,0.98333242,-0.091858876
Drechslerella stenobrocha,0.216605847,0.561430682,0.003732774,0.006336829,0.089402451
Trichoderma harzianum,0.119848384,0.571771507,0.000802735,0.001630628,0.042220251
Bifiguratus adelaidae,0.143030449,0.649625409,2.79E-12,3.69E-11,0.372388408
Wickerhamomyces ciferrii,0.146190799,0.585017863,7.17E-05,0.000185981,0.153161142
Cordyceps sp. RAO-2017,-0.047425058,0.473100288,0.209025122,0.252601546,-0.201715369
Fistulina hepatica,0.083518084,0.553562007,0.012368666,0.019171433,-0.03307165
Encephalitozoon cuniculi,0.036059327,0.517806268,0.092515809,0.120591904,0.088118156
Encephalitozoon hellem,0.066823787,0.550015828,8.31E-06,2.65E-05,0.174906885
Encephalitozoon intestinalis,0.137052572,0.573384434,5.71E-05,0.000151799,0.056594318
Hanseniaspora valbyensis,0.172772724,0.582817046,7.48E-06,2.40E-05,0.073150071
Hebeloma cylindrosporum,0.090914922,0.529688419,0.152893196,0.189587563,0.038877539
